          Time      Uncensored
 186   0.1335234288     0
 187   0.0347344038     1
 188   0.1265860079     0
 189   0.1372193869     1
 190   0.1786282812     1
 191   0.0274182363     1
 192   0.7270933179     1
 193   0.7742042700     0
 194   0.0301658360     1
 195   0.9740574369     0
 196   0.2239580500     1
 197   0.8490975776     1
 198   0.2931381813     1
 199   0.1713146770     1
 200   0.0136960330     1
 201   0.0358171357     1
 202   0.0586363988     1
 203   0.6401853150     1
 204   0.2502332155     1
 205   0.1955742454     0
 206   0.0170965962     1
 207   0.1718213489     1
 208   0.5346636601     1
 209   0.6870946248     1
 210   0.2251137760     1
 211   0.1145484751     1
 212   0.0945986651     1
 213   0.2183218229     1
 214   0.2730577940     1
 215   0.0565933511     0
 216   0.7322296587     1
 217   0.2093156250     1
 218   0.0722144836     1
 219   0.1151744050     1
 220   0.2255629097     1
 221   0.1569637780     1
 222   0.3992430813     1
 223   0.1574637264     1
 224   0.3642527246     1
 225   3.2194077711     1
 226   0.0656878576     1
 227   0.4462711484     1
 228   0.1027089637     1
 229   0.2516502462     1
 230   0.4772232043     1
 231   0.0329336712     1
 232   0.2500953414     1
 233   0.0635939350     1
 234   0.2701573775     1
 235   0.0900789893     1
 236   2.3367620893     0
 237   0.0619001272     1
 238   0.0348653656     1
 239   0.1309500787     1
 240   0.0359963372     1
 241   0.1479018901     1
 242   0.1125877900     0
 243   0.3669613126     1
 244   0.2821384058     1
 245   0.1704537730     1
 246   0.6751911639     1
 247   0.9225468292     1
 248   0.0228512533     1
 249   0.1323339419     1
 250   0.4250307382     1
 251   0.1208270332     1
 252   0.0528397210     1
 253   0.0413669588     1
 254   0.6308143236     1
 255   0.9736549547     0
 256   0.2915762560     1
 257   0.2136383830     1
 258   0.0247879332     1
 259   0.0089346893     1
 260   0.0087429723     1
 261   0.1352787482     1
 262   0.2748827297     1
 263   0.2907057207     1
 264   0.0749416667     1
 265   0.0711136704     1
 266   0.0023376025     1
 267   2.1870650155     0
 268   0.2233682461     1
 269   0.0495492068     1
 270   1.7889014650     0
 271   0.3251047059     1
 272   0.0358162599     1
 273   0.3912204690     0
 274   0.1009237670     1
 275   0.0483310693     1
 276   0.0446055518     1
 277   0.0155121000     1
 278   0.1458518615     1
 279   0.0896306229     1
 280   0.3274360904     1
 281   0.1439053949     1
 282   0.0091982988     1
 283   0.1517478065     1
 284   0.1541818493     1
 285   0.0748322098     1
 286   0.0016431638     1
 287   0.7297205683     0
 288   0.1860556951     1
 289   0.0020054367     1
 290   0.0002124044     1
 291   0.1011600781     1
 292   0.5860873079     0
 293   0.0923638779     1
 294   0.2779047849     1
 295   0.1848070004     1
 296   2.8984416127     0
 297   0.2521539778     1
 298   0.3732036205     1
 299   0.1315675881     1
 300   0.2178475694     1
 301   0.3064237196     1
 302   0.1716659809     1
 303   0.2558329904     1
 304   0.0198084966     1
 305   0.1176635701     1
 306   1.2446447683     1
 307   1.2553206515     0
 308   0.0474823250     1
 309   0.2800787058     1
 310   0.3339038616     1
 311   0.3044049948     1
 312   0.4945123332     1
 313   0.0709252924     1
 314   0.4369259151     0
 315   0.4509177623     1
 316   2.3889913037     0
 317   0.3852628721     1
 318   0.1908496967     1
 319   0.3256451954     1
 320   0.1297896390     1
 321   1.0744665079     0
 322   0.0650300374     1
 323   1.0320942484     1
 324   0.2560368861     1
 325   0.0155839872     1
 326   0.2565269176     1
 327   0.1259934921     0
 328   0.1947784828     1
 329   0.1056921696     1
 330   0.5546548519     1
 331   0.6156992051     1
 332   0.2836072843     1
 333   0.0320884597     1
 334   0.3318142585     1
 335   0.1570151545     1
 336   0.1249445716     1
 337   0.1127614182     1
 338   0.0477827615     1
 339   0.1296724720     1
 340   0.0620757995     1
 341   0.5758969594     1
 342   0.1846594172     1
 343   0.3266637656     1
 344   0.0180580291     1
 345   0.0626203163     1
 346   0.3190214362     1
 347   0.4040969231     1
 348   0.0808356218     0
 349   0.5897295456     1
 350   0.3523633377     1
 351   0.1230525096     1
 352   0.1499549115     1
 353   1.9024065845     0
 354   0.0353720936     1
 355   0.1870133993     1
 356   0.2536805338     1
 357   0.6961646173     0
 358   0.0416046764     1
 359   0.0537367632     1
 360   0.1094239548     1
 361   0.0337849014     1
 362   0.0366533624     1
 363   0.1973320907     1
 364   0.0634895658     1
 365   0.0461179332     1
 366   0.1305386936     0
 367   0.1690250253     0
 368   0.1111934624     1
 369   0.0050632510     1
 370   0.2269427692     1
 371   0.0907688687     1
 372   0.0653712597     1
 373   0.1882842396     1
 374   0.2383419504     1
 375   0.1702702615     1
 376   0.0301527585     1
 377   0.0896284794     1
 378   0.0484716885     1
 379   0.8882650015     1
 380   0.0381841775     1
 381   0.2837154156     1
 382   0.3207874655     1
 383   0.2883689295     1
 384   0.0090058069     1
 385   0.0295852310     1
 386   0.4926944538     1
 387   0.1425593040     1
 388   0.0001442412     1
 389   0.0859114758     1
 390   0.3676695479     0
 391   0.1041356297     1
 392   0.1148040198     1
 393   0.1382951748     1
 394   0.7430292076     1
 395   0.1430299326     1
 396   0.0768319318     1
 397   0.2499947958     0
 398   0.3891347664     1
 399   0.8677901234     0
 400   0.1776150454     1
 401   0.0089099700     1
 402   0.0314186032     1
 403   0.8141595889     1
 404   0.0560330465     1
 405   0.8555309537     1
 406   0.6018715671     1
 407   0.0749095693     1
 408   0.2623035843     1
 409   0.7156882742     0
 410   0.8880158383     0
 411   0.4328459058     1
 412   0.1895491627     1
 413   0.5462456027     1
 414   0.0271439676     1
 415   3.7221645862     0
 416   0.2583036405     1
 417   0.4221332596     1
 418   0.2618170211     1
 419   0.0116342318     1
 420   0.5549981376     1
 421   0.4870913098     1
 422   0.9892804793     1
 423   0.0883650457     1
 424   0.9037886150     0
 425   0.0065975442     1
 426   0.0513265081     1
 427   0.0344281323     1
 428   3.2762212064     0
 429   0.0075514431     1
 430   0.2934561796     1
 431   0.2933331073     1
 432   0.0098489103     1
 433   0.1012578098     1
 434   0.1999424048     1
 435   0.1318926892     1
 436   0.1238309904     1
 437   3.6460572798     0
 438   0.1867662358     1
 439   0.0752145787     1
 440   1.1453615720     1
 441   0.0735936787     1
 442   0.0220712256     1
 443   0.6828245409     0
 444   0.0471447036     1
 445   0.2654667892     1
 446   0.0310645977     1
 447   0.0760213751     1
 448   0.0034222410     1
 449   0.0441502932     1
 450   0.4351608390     0
 451   1.0304727873     1
 452   0.2575254013     1
 453   3.2436459813     1
 454   0.8647324677     1
 455   0.0410235080     1
 456   0.1329359682     0
 457   0.1319233636     1
 458   0.0072962372     0
 459   0.2830340194     1
 460   0.3937175835     1
 461   0.0890047131     1
 462   0.0286577905     1
 463   0.5883668125     1
 464   0.0027148536     1
 465   0.1090762554     1
 466   0.0612461428     1
 467   0.0337429133     1
 468   0.0875599611     1
 469   0.1956650420     1
 470   0.0282706251     1
 471   1.1818904868     1
 472   2.3625587430     0
 473   0.0616959984     1
 474   0.4265700328     1
 475   0.0056109600     1
 476   1.9372915458     0
 477   0.1309014391     0
 478   2.9682022013     1
 479   0.5383512833     1
 480   0.0046143603     1
 481   0.0456363012     1
 482   0.0715248901     0
 483   0.5711550150     1
 484   0.6888583237     0
 485   0.1585679389     1
 486   0.0448061274     1
 487   0.0390599076     1
 488   0.1574631972     1
 489   0.0443400336     1
 490   0.0337851795     1
 491   0.0455170057     1
 492   0.0168898137     1
 493   0.0718210178     1
 494   2.0570303714     0
 495   0.1148044008     1
 496   0.2274571941     1
 497   0.2363989760     1
 498   0.3472277815     1
 499   0.5139472883     1
 500   0.6531694029     0
